LOCA_ID,LOCA_TYPE,LOCA_NATE,LOCA_NATN,LOCA_GL,LOCA_FDEP
BH01,CP,451105.75,161993.25,23.68,26.20
BH02,RC,451235.21,161989.66,32.49,17.41
BH03,RC,451347.36,161993.80,28.54,29.48
BH04,RC,451469.88,161995.66,29.04,25.44
BH05,RC,450991.38,162109.98,31.62,24.14
BH06,CP,451134.92,162099.15,26.92,26.63
BH07,RC,451240.87,162124.13,31.33,10.25
BH08,CP,451371.12,162103.95,28.67,23.40
BH09,CP,451492.87,162121.36,30.98,16.77
BH10,CP,450988.85,162219.26,27.60,15.83
BH11,CP,451122.65,162211.90,23.64,11.56
BH12,RC,451230.71,162207.91,26.17,19.32
BH13,RC,451352.49,162232.70,26.32,28.95
BH14,RC,451492.80,162228.55,24.42,25.33
